Season,Team,League,Games,Championship_Season,Stat,Value,Stat_Type
2009,SFN,NL,7,False,Hits,2.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Hits,124.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Hits,46.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Hits,178.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Hits,153.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Hits,170.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Hits,177.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Hits,155.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Hits,158.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Hits,113.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Hits,104.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Hits,120.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Home_Runs,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Home_Runs,18.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Home_Runs,4.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Home_Runs,24.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Home_Runs,15.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Home_Runs,22.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Home_Runs,19.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Home_Runs,14.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Home_Runs,12.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Home_Runs,5.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Home_Runs,7.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Home_Runs,18.0,Regular Season Counting Stat
2009,SFN,NL,7,False,RBIs,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,RBIs,67.0,Regular Season Counting Stat
2011,SFN,NL,45,False,RBIs,21.0,Regular Season Counting Stat
2012,SFN,NL,148,True,RBIs,103.0,Regular Season Counting Stat
2013,SFN,NL,148,False,RBIs,72.0,Regular Season Counting Stat
2014,SFN,NL,147,True,RBIs,89.0,Regular Season Counting Stat
2015,SFN,NL,150,False,RBIs,95.0,Regular Season Counting Stat
2016,SFN,NL,146,False,RBIs,80.0,Regular Season Counting Stat
2017,SFN,NL,140,False,RBIs,67.0,Regular Season Counting Stat
2018,SFN,NL,105,False,RBIs,41.0,Regular Season Counting Stat
2019,SFN,NL,114,False,RBIs,38.0,Regular Season Counting Stat
2021,SFN,NL,113,False,RBIs,56.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Runs,1.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Runs,58.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Runs,17.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Runs,78.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Runs,61.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Runs,72.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Runs,74.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Runs,82.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Runs,62.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Runs,47.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Runs,43.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Runs,68.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Doubles,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Doubles,23.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Doubles,5.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Doubles,39.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Doubles,34.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Doubles,28.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Doubles,28.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Doubles,33.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Doubles,34.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Doubles,22.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Doubles,24.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Doubles,23.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Triples,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Triples,2.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Triples,0.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Triples,1.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Triples,1.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Triples,2.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Triples,0.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Triples,2.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Triples,0.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Triples,1.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Triples,0.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Triples,0.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Walks,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Walks,30.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Walks,18.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Walks,69.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Walks,60.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Walks,47.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Walks,56.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Walks,64.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Walks,61.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Walks,45.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Walks,34.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Walks,56.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Strikeouts,4.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Strikeouts,55.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Strikeouts,30.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Strikeouts,96.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Strikeouts,70.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Strikeouts,69.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Strikeouts,52.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Strikeouts,68.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Strikeouts,66.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Strikeouts,53.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Strikeouts,71.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Strikeouts,87.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Singles,2.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Singles,81.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Singles,37.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Singles,114.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Singles,103.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Singles,118.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Singles,130.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Singles,106.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Singles,112.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Singles,85.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Singles,73.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Singles,79.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Total_Bases,2.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Total_Bases,205.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Total_Bases,63.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Total_Bases,291.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Total_Bases,234.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Total_Bases,268.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Total_Bases,262.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Total_Bases,234.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Total_Bases,228.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Total_Bases,152.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Total_Bases,149.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Total_Bases,197.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Stolen_Bases,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Stolen_Bases,0.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Stolen_Bases,3.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Stolen_Bases,1.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Stolen_Bases,2.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Stolen_Bases,0.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Stolen_Bases,2.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Stolen_Bases,6.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Stolen_Bases,6.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Stolen_Bases,3.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Stolen_Bases,0.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Stolen_Bases,0.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Caught_Stealing,0.0,Regular Season Counting Stat
2010,SFN,NL,108,True,Caught_Stealing,2.0,Regular Season Counting Stat
2011,SFN,NL,45,False,Caught_Stealing,0.0,Regular Season Counting Stat
2012,SFN,NL,148,True,Caught_Stealing,1.0,Regular Season Counting Stat
2013,SFN,NL,148,False,Caught_Stealing,1.0,Regular Season Counting Stat
2014,SFN,NL,147,True,Caught_Stealing,1.0,Regular Season Counting Stat
2015,SFN,NL,150,False,Caught_Stealing,0.0,Regular Season Counting Stat
2016,SFN,NL,146,False,Caught_Stealing,1.0,Regular Season Counting Stat
2017,SFN,NL,140,False,Caught_Stealing,1.0,Regular Season Counting Stat
2018,SFN,NL,105,False,Caught_Stealing,2.0,Regular Season Counting Stat
2019,SFN,NL,114,False,Caught_Stealing,0.0,Regular Season Counting Stat
2021,SFN,NL,113,False,Caught_Stealing,0.0,Regular Season Counting Stat
2009,SFN,NL,7,False,At_Bats,17.0,Regular Season Counting Stat
2010,SFN,NL,108,True,At_Bats,406.0,Regular Season Counting Stat
2011,SFN,NL,45,False,At_Bats,162.0,Regular Season Counting Stat
2012,SFN,NL,148,True,At_Bats,530.0,Regular Season Counting Stat
2013,SFN,NL,148,False,At_Bats,520.0,Regular Season Counting Stat
2014,SFN,NL,147,True,At_Bats,547.0,Regular Season Counting Stat
2015,SFN,NL,150,False,At_Bats,557.0,Regular Season Counting Stat
2016,SFN,NL,146,False,At_Bats,539.0,Regular Season Counting Stat
2017,SFN,NL,140,False,At_Bats,494.0,Regular Season Counting Stat
2018,SFN,NL,105,False,At_Bats,398.0,Regular Season Counting Stat
2019,SFN,NL,114,False,At_Bats,405.0,Regular Season Counting Stat
2021,SFN,NL,113,False,At_Bats,395.0,Regular Season Counting Stat
2009,SFN,NL,7,False,Batting_Average,0.11764705882352941,Regular Season Rate Stat
2010,SFN,NL,108,True,Batting_Average,0.3054187192118227,Regular Season Rate Stat
2011,SFN,NL,45,False,Batting_Average,0.2839506172839506,Regular Season Rate Stat
2012,SFN,NL,148,True,Batting_Average,0.33584905660377357,Regular Season Rate Stat
2013,SFN,NL,148,False,Batting_Average,0.29423076923076924,Regular Season Rate Stat
2014,SFN,NL,147,True,Batting_Average,0.31078610603290674,Regular Season Rate Stat
2015,SFN,NL,150,False,Batting_Average,0.3177737881508079,Regular Season Rate Stat
2016,SFN,NL,146,False,Batting_Average,0.287569573283859,Regular Season Rate Stat
2017,SFN,NL,140,False,Batting_Average,0.31983805668016196,Regular Season Rate Stat
2018,SFN,NL,105,False,Batting_Average,0.28391959798994976,Regular Season Rate Stat
2019,SFN,NL,114,False,Batting_Average,0.25679012345679014,Regular Season Rate Stat
2021,SFN,NL,113,False,Batting_Average,0.3037974683544304,Regular Season Rate Stat
2009,SFN,NL,7,False,On_Base_Percentage,0.11764705882352941,Regular Season Rate Stat
2010,SFN,NL,108,True,On_Base_Percentage,0.35665914221218964,Regular Season Rate Stat
2011,SFN,NL,45,False,On_Base_Percentage,0.3675675675675676,Regular Season Rate Stat
2012,SFN,NL,148,True,On_Base_Percentage,0.4081967213114754,Regular Season Rate Stat
2013,SFN,NL,148,False,On_Base_Percentage,0.37142857142857144,Regular Season Rate Stat
2014,SFN,NL,147,True,On_Base_Percentage,0.36363636363636365,Regular Season Rate Stat
2015,SFN,NL,150,False,On_Base_Percentage,0.37881219903691815,Regular Season Rate Stat
2016,SFN,NL,146,False,On_Base_Percentage,0.36156351791530944,Regular Season Rate Stat
2017,SFN,NL,140,False,On_Base_Percentage,0.3996478873239437,Regular Season Rate Stat
2018,SFN,NL,105,False,On_Base_Percentage,0.359375,Regular Season Rate Stat
2019,SFN,NL,114,False,On_Base_Percentage,0.31981981981981983,Regular Season Rate Stat
2021,SFN,NL,113,False,On_Base_Percentage,0.3898678414096916,Regular Season Rate Stat
2009,SFN,NL,7,False,Slugging_Percentage,0.11764705882352941,Regular Season Rate Stat
2010,SFN,NL,108,True,Slugging_Percentage,0.5049261083743842,Regular Season Rate Stat
2011,SFN,NL,45,False,Slugging_Percentage,0.3888888888888889,Regular Season Rate Stat
2012,SFN,NL,148,True,Slugging_Percentage,0.5490566037735849,Regular Season Rate Stat
2013,SFN,NL,148,False,Slugging_Percentage,0.45,Regular Season Rate Stat
2014,SFN,NL,147,True,Slugging_Percentage,0.489945155393053,Regular Season Rate Stat
2015,SFN,NL,150,False,Slugging_Percentage,0.4703770197486535,Regular Season Rate Stat
2016,SFN,NL,146,False,Slugging_Percentage,0.43413729128014844,Regular Season Rate Stat
2017,SFN,NL,140,False,Slugging_Percentage,0.46153846153846156,Regular Season Rate Stat
2018,SFN,NL,105,False,Slugging_Percentage,0.38190954773869346,Regular Season Rate Stat
2019,SFN,NL,114,False,Slugging_Percentage,0.36790123456790125,Regular Season Rate Stat
2021,SFN,NL,113,False,Slugging_Percentage,0.49873417721518987,Regular Season Rate Stat
2009,SFN,NL,7,False,OPS,0.23529411764705882,Regular Season Rate Stat
2010,SFN,NL,108,True,OPS,0.8615852505865739,Regular Season Rate Stat
2011,SFN,NL,45,False,OPS,0.7564564564564564,Regular Season Rate Stat
2012,SFN,NL,148,True,OPS,0.9572533250850603,Regular Season Rate Stat
2013,SFN,NL,148,False,OPS,0.8214285714285714,Regular Season Rate Stat
2014,SFN,NL,147,True,OPS,0.8535815190294167,Regular Season Rate Stat
2015,SFN,NL,150,False,OPS,0.8491892187855716,Regular Season Rate Stat
2016,SFN,NL,146,False,OPS,0.7957008091954578,Regular Season Rate Stat
2017,SFN,NL,140,False,OPS,0.8611863488624052,Regular Season Rate Stat
2018,SFN,NL,105,False,OPS,0.7412845477386935,Regular Season Rate Stat
2019,SFN,NL,114,False,OPS,0.687721054387721,Regular Season Rate Stat
2021,SFN,NL,113,False,OPS,0.8886020186248815,Regular Season Rate Stat
2009,SFN,NL,7,False,Hits_per_Game,0.2857142857142857,Regular Season Per-Game
2010,SFN,NL,108,True,Hits_per_Game,1.1481481481481481,Regular Season Per-Game
2011,SFN,NL,45,False,Hits_per_Game,1.0222222222222221,Regular Season Per-Game
2012,SFN,NL,148,True,Hits_per_Game,1.2027027027027026,Regular Season Per-Game
2013,SFN,NL,148,False,Hits_per_Game,1.0337837837837838,Regular Season Per-Game
2014,SFN,NL,147,True,Hits_per_Game,1.1564625850340136,Regular Season Per-Game
2015,SFN,NL,150,False,Hits_per_Game,1.18,Regular Season Per-Game
2016,SFN,NL,146,False,Hits_per_Game,1.0616438356164384,Regular Season Per-Game
2017,SFN,NL,140,False,Hits_per_Game,1.1285714285714286,Regular Season Per-Game
2018,SFN,NL,105,False,Hits_per_Game,1.0761904761904761,Regular Season Per-Game
2019,SFN,NL,114,False,Hits_per_Game,0.9122807017543859,Regular Season Per-Game
2021,SFN,NL,113,False,Hits_per_Game,1.0619469026548674,Regular Season Per-Game
2009,SFN,NL,7,False,HR_per_Game,0.0,Regular Season Per-Game
2010,SFN,NL,108,True,HR_per_Game,0.16666666666666666,Regular Season Per-Game
2011,SFN,NL,45,False,HR_per_Game,0.08888888888888889,Regular Season Per-Game
2012,SFN,NL,148,True,HR_per_Game,0.16216216216216217,Regular Season Per-Game
2013,SFN,NL,148,False,HR_per_Game,0.10135135135135136,Regular Season Per-Game
2014,SFN,NL,147,True,HR_per_Game,0.14965986394557823,Regular Season Per-Game
2015,SFN,NL,150,False,HR_per_Game,0.12666666666666668,Regular Season Per-Game
2016,SFN,NL,146,False,HR_per_Game,0.0958904109589041,Regular Season Per-Game
2017,SFN,NL,140,False,HR_per_Game,0.08571428571428572,Regular Season Per-Game
2018,SFN,NL,105,False,HR_per_Game,0.047619047619047616,Regular Season Per-Game
2019,SFN,NL,114,False,HR_per_Game,0.06140350877192982,Regular Season Per-Game
2021,SFN,NL,113,False,HR_per_Game,0.1592920353982301,Regular Season Per-Game
2009,SFN,NL,7,False,RBI_per_Game,0.0,Regular Season Per-Game
2010,SFN,NL,108,True,RBI_per_Game,0.6203703703703703,Regular Season Per-Game
2011,SFN,NL,45,False,RBI_per_Game,0.4666666666666667,Regular Season Per-Game
2012,SFN,NL,148,True,RBI_per_Game,0.6959459459459459,Regular Season Per-Game
2013,SFN,NL,148,False,RBI_per_Game,0.4864864864864865,Regular Season Per-Game
2014,SFN,NL,147,True,RBI_per_Game,0.6054421768707483,Regular Season Per-Game
2015,SFN,NL,150,False,RBI_per_Game,0.6333333333333333,Regular Season Per-Game
2016,SFN,NL,146,False,RBI_per_Game,0.547945205479452,Regular Season Per-Game
2017,SFN,NL,140,False,RBI_per_Game,0.4785714285714286,Regular Season Per-Game
2018,SFN,NL,105,False,RBI_per_Game,0.3904761904761905,Regular Season Per-Game
2019,SFN,NL,114,False,RBI_per_Game,0.3333333333333333,Regular Season Per-Game
