Season,Team,League,Runs,Strikeouts,Caught_Stealing,Sacrifice_Flies,Hits,Hit_By_Pitch,Home_Runs,RBIs,Doubles,Triples,At_Bats,Games,Walks,Stolen_Bases,Batting_Average,On_Base_Percentage,Singles,Total_Bases,Slugging_Percentage,OPS,Hits_per_Game,HR_per_Game,RBI_per_Game,Runs_per_Game,Walks_per_Game,Strikeouts_per_Game,Doubles_per_Game,Triples_per_Game,League_Hits_per_Game,League_HR_per_Game,League_RBI_per_Game,League_Runs_per_Game,League_Walks_per_Game,League_Strikeouts_per_Game,League_Doubles_per_Game,League_Triples_per_Game,Hits_vs_League,HR_vs_League,RBI_vs_League,Runs_vs_League,Walks_vs_League,Strikeouts_vs_League,Doubles_vs_League,Triples_vs_League,Championship_Season,Post_Hits,Post_HR,Post_RBI,Post_Doubles,Post_Triples,Post_AB,Post_Games,Post_Walks,Post_Strikeouts,Post_Hits_per_Game,Post_HR_per_Game,Post_RBI_per_Game,Post_Walks_per_Game,Hits_Post_vs_Reg,HR_Post_vs_Reg,RBI_Post_vs_Reg
2009,SFN,NL,1,4.0,0.0,0.0,2,0.0,0,0.0,0,0,17,7,0,0.0,0.11764705882352941,0.11764705882352941,2,2,0.11764705882352941,0.23529411764705882,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.0,0.630435412381587,0.07303224311248878,0.3094527651438338,0.32473420435122685,0.24073698542831484,0.486558127408094,0.1265534922796141,0.013746052898403777,-0.34472112666730126,-0.07303224311248878,-0.3094527651438338,-0.181877061494084,-0.24073698542831484,0.08487044402047739,-0.1265534922796141,-0.013746052898403777,False,,,,,,,,,,,,,,,,
2010,SFN,NL,58,55.0,2.0,3.0,124,4.0,18,67.0,23,2,406,108,30,0.0,0.3054187192118227,0.35665914221218964,81,205,0.5049261083743842,0.8615852505865739,1.1481481481481481,0.16666666666666666,0.6203703703703703,0.5370370370370371,0.2777777777777778,0.5092592592592593,0.21296296296296297,0.018518518518518517,0.6174315520668592,0.06693170441520001,0.2943660132615603,0.30916556637309384,0.2289287735233093,0.4977583029845765,0.12312647814164043,0.012565110779007849,0.530716596081289,0.09973496225146665,0.32600435710881004,0.22787147066394325,0.0488490042544685,0.011500956274682783,0.08983648482132253,0.005953407739510669,True,17.0,1.0,5.0,3.0,0.0,59.0,15.0,6.0,18.0,1.1333333333333333,0.06666666666666667,0.3333333333333333,0.4,-0.014814814814814836,-0.09999999999999999,-0.28703703703703703
2011,SFN,NL,17,30.0,0.0,1.0,46,4.0,4,21.0,5,0,162,45,18,3.0,0.2839506172839506,0.3675675675675676,37,63,0.3888888888888889,0.7564564564564564,1.0222222222222221,0.08888888888888889,0.4666666666666667,0.37777777777777777,0.4,0.6666666666666666,0.1111111111111111,0.0,0.6149805758849975,0.06623113969357913,0.2881461973839282,0.3027542958576438,0.21851038135284961,0.5017969125114581,0.12220460067802529,0.01306580919262611,0.4072416463372246,0.02265774919530976,0.17852046928273846,0.07502348192013397,0.1814896186471504,0.16486975415520855,-0.01109348956691418,-0.01306580919262611,False,,,,,,,,,,,,,,,,
2012,SFN,NL,78,96.0,1.0,9.0,178,2.0,24,103.0,39,1,530,148,69,1.0,0.33584905660377357,0.4081967213114754,114,291,0.5490566037735849,0.9572533250850603,1.2027027027027026,0.16216216216216217,0.6959459459459459,0.527027027027027,0.46621621621621623,0.6486486486486487,0.2635135135135135,0.006756756756756757,0.6050576101497432,0.07097340295458796,0.28766236568420145,0.30232022900214334,0.21158244508695465,0.5239718638070168,0.11883082322818223,0.013334484097872523,0.5976450925529594,0.09118875920757422,0.4082835802617445,0.22470679802488364,0.25463377112926155,0.12467678484163192,0.14468269028533126,-0.006577727341115766,True,12.0,3.0,9.0,0.0,0.0,60.0,16.0,8.0,15.0,0.75,0.1875,0.5625,0.5,-0.45270270270270263,0.02533783783783783,-0.13344594594594594
2013,SFN,NL,61,70.0,1.0,7.0,153,8.0,15,72.0,34,1,520,148,60,2.0,0.29423076923076924,0.37142857142857144,103,234,0.45,0.8214285714285714,1.0337837837837838,0.10135135135135136,0.4864864864864865,0.41216216216216217,0.40540540540540543,0.47297297297297297,0.22972972972972974,0.006756756756756757,0.6076832014783161,0.06728936882831899,0.27820927412369345,0.2924149679505688,0.21135300571692556,0.5299705491713346,0.11869838886643182,0.011145117514581047,0.42610058230546766,0.03406198252303237,0.20827721236279306,0.11974719421159336,0.19405239968847987,-0.0569975761983616,0.11103134086329793,-0.00438836075782429,False,,,,,,,,,,,,,,,,
2014,SFN,NL,72,69.0,1.0,8.0,170,3.0,22,89.0,28,2,547,147,47,0.0,0.31078610603290674,0.36363636363636365,118,268,0.489945155393053,0.8535815190294167,1.1564625850340136,0.14965986394557823,0.6054421768707483,0.4897959183673469,0.3197278911564626,0.46938775510204084,0.19047619047619047,0.013605442176870748,0.5979385889253062,0.06017480305905353,0.2694640906215859,0.2840693462135587,0.20154102696797194,0.5382237939163935,0.116971421999885,0.012204588580300154,0.5585239961087074,0.08948506088652469,0.3359780862491624,0.2057265721537882,0.11818686418849067,-0.06883603881435268,0.07350476847630547,0.0014008535965705938,True,17.0,0.0,7.0,0.0,0.0,69.0,17.0,6.0,7.0,1.0,0.0,0.4117647058823529,0.35294117647058826,-0.15646258503401356,-0.14965986394557823,-0.19367747098839538
2015,SFN,NL,74,52.0,0.0,7.0,177,3.0,19,95.0,28,0,557,150,56,2.0,0.3177737881508079,0.37881219903691815,130,262,0.4703770197486535,0.8491892187855716,1.18,0.12666666666666668,0.6333333333333333,0.49333333333333335,0.37333333333333335,0.3466666666666667,0.18666666666666668,0.0,0.596960331187796,0.0695976408540562,0.27858904925284256,0.2927240763319817,0.1995207984801656,0.5308929027135849,0.11685144752885132,0.013312728613151104,0.5830396688122039,0.057069025812610474,0.35474428408049075,0.20060925700135163,0.17381253485316775,-0.18422623604691823,0.06981521913781535,-0.013312728613151104,False,,,,,,,,,,,,,,,,
2016,SFN,NL,82,68.0,1.0,8.0,155,3.0,14,80.0,33,2,539,146,64,6.0,0.287569573283859,0.36156351791530944,106,234,0.43413729128014844,0.7957008091954578,1.0616438356164384,0.0958904109589041,0.547945205479452,0.5616438356164384,0.4383561643835616,0.4657534246575342,0.22602739726027396,0.0136986301369863,0.6000766490184667,0.07962981362933103,0.2944599792763765,0.30864004769272263,0.2141630353011313,0.553320747753758,0.11715944415267349,0.012391591318788947,0.4615671865979717,0.01626059732957308,0.2534852262030755,0.25300378792371575,0.22419312908243033,-0.08756732309622373,0.10886795310760047,0.0013070388181973536,False,5.0,0.0,2.0,1.0,0.0,18.0,5.0,3.0,1.0,1.0,0.0,0.4,0.6,-0.06164383561643838,-0.0958904109589041,-0.147945205479452
2017,SFN,NL,62,66.0,1.0,5.0,158,8.0,12,67.0,34,0,494,140,61,6.0,0.31983805668016196,0.3996478873239437,112,228,0.46153846153846156,0.8611863488624052,1.1285714285714286,0.08571428571428572,0.4785714285714286,0.44285714285714284,0.4357142857142857,0.4714285714285714,0.24285714285714285,0.0,0.5967374863944136,0.0862982909969891,0.30473686442474873,0.31921179480655326,0.22375358692732847,0.5668970781561427,0.11869725626563757,0.011237860989779906,0.531833942177015,-0.000584005282703387,0.17383456414667986,0.12364534805058958,0.21196069878695725,-0.09546850672757123,0.12415988659150529,-0.011237860989779906,False,,,,,,,,,,,,,,,,
2018,SFN,NL,47,53.0,2.0,2.0,113,3.0,5,41.0,22,1,398,105,45,3.0,0.28391959798994976,0.359375,85,152,0.38190954773869346,0.7412845477386935,1.0761904761904761,0.047619047619047616,0.3904761904761905,0.44761904761904764,0.42857142857142855,0.5047619047619047,0.20952380952380953,0.009523809523809525,0.5729571169157703,0.07801368906271824,0.2878334962983657,0.3021371699958095,0.2191088140801788,0.5755971504400055,0.11543511663640173,0.011831261349350468,0.5032333592747058,-0.030394641443670628,0.10264269417782479,0.14548187762323816,0.20946261449124975,-0.07083524567810073,0.0940886928874078,-0.002307451825540943,False,,,,,,,,,,,,,,,,
2019,SFN,NL,43,71.0,0.0,1.0,104,4.0,7,38.0,24,0,405,114,34,0.0,0.25679012345679014,0.31981981981981983,73,149,0.36790123456790125,0.687721054387721,0.9122807017543859,0.06140350877192982,0.3333333333333333,0.37719298245614036,0.2982456140350877,0.6228070175438597,0.21052631578947367,0.0,0.5864488588806428,0.09452597511299593,0.31347302047876796,0.3273673344121422,0.2217370682439596,0.5973857485631382,0.11900842586909212,0.010950839796886335,0.3258318428737431,-0.03312246634106611,0.019860312854565354,0.04982564804399814,0.07650854579112809,0.0254212689807215,0.09151788992038155,-0.010950839796886335,False,,,,,,,,,,,,,,,,
2021,SFN,NL,68,87.0,0.0,2.0,120,1.0,18,56.0,23,0,395,113,56,0.0,0.3037974683544304,0.3898678414096916,79,197,0.49873417721518987,0.8886020186248815,1.0619469026548674,0.1592920353982301,0.49557522123893805,0.6017699115044248,0.49557522123893805,0.7699115044247787,0.20353982300884957,0.0,0.55129082252412,0.08299241842476368,0.29311235531478197,0.30731210119936886,0.22052191396378157,0.5884447298976556,0.10978623588053783,0.009368760559053908,0.5106560801307474,0.0762996169734664,0.20246286592415608,0.29445781030505597,0.2750533072751565,0.18146677452712312,0.09375358712831174,-0.009368760559053908,False,6.0,1.0,2.0,2.0,0.0,20.0,5.0,0.0,6.0,1.2,0.2,0.4,0.0,0.1380530973451326,0.040707964601769925,-0.09557522123893802
